mode,questions,retrieval_recall,retrieval_mrr,mean_sources,rewrite_latency_mean,retrieval_latency_mean,generation_latency_mean,total_latency_mean,total_latency_p50,total_latency_p95
no_rag,40,,,,,,0.2512323877248946,0.25148926599990773,0.22768137300045055,0.40243781944936924
rag,40,0.9714285714285714,0.9714285714285714,4.675,,0.07484629050022704,0.3554942435748217,0.43071556647500986,0.3512990205008464,0.8157144271003743
rag_rewrite,40,0.9714285714285714,0.9714285714285714,4.7,0.14894948169994676,0.07520907565017296,0.4051832042749993,0.6296712199747162,0.5637432564999472,1.074277119049657
